Kolumna1	Kolumna2	Kolumna3	Kolumna4	kg_trans	ilosc_kg	przed_przecena	PO_PRZECENIE	rabaty_suma	czy_wystepuje_rabat						
22/04/2022	Ligol	Z	015-89-55-248	292	1845	992,8	992,8	0	0						
20/05/2022	Jonagored	Z	015-89-55-248	599	2444	2096,5	2096,5	0	0						
30/05/2022	Jonagored	Z	015-89-55-248	674	3118	2359	2359	0	0						
06/06/2022	Reneta	J	015-89-55-248	426	3544	1491	1491	0	0						
22/06/2022	Papierowka	L	015-89-55-248	266	3810	851,2	851,2	0	0						
24/06/2022	Reneta	J	015-89-55-248	249	4059	871,5	871,5	0	0						
04/07/2022	Reneta	J	015-89-55-248	239	4298	836,5	836,5	0	0						
08/08/2022	Reneta	J	015-89-55-248	10	4308	35	35	0	0						
15/08/2022	Melba	L	015-89-55-248	231	4539	623,7	623,7	0	0						
18/08/2022	Melba	L	015-89-55-248	315	4854	850,5	850,5	0	0						
30/08/2022	Reneta	J	015-89-55-248	438	5292	1533	1533	0	0						
02/09/2022	Delikates	J	015-89-55-248	474	5766	1516,8	1516,8	0	0						
02/09/2022	Delikates	J	015-89-55-248	118	5884	377,6	377,6	0	0						
03/09/2022	Antonowka	J	015-89-55-248	58	5942	185,6	185,6	0	0						
13/09/2022	Antonowka	J	015-89-55-248	423	6365	1353,6	1353,6	0	0						
28/09/2022	Antonowka	J	015-89-55-248	418	6783	1337,6	1337,6	0	0						
30/09/2022	Reneta	J	015-89-55-248	291	7074	1018,5	1018,5	0	0						
05/10/2022	Reneta	J	015-89-55-248	436	7510	1526	1526	0	0						
14/11/2022	Reneta	J	015-89-55-248	43	7553	150,5	150,5	0	0						
12/12/2022	Szampion	Z	015-89-55-248	419	7972	1005,6	1005,6	0	0						
16/12/2022	Idared	Z	015-89-55-248	301	8273	1023,4	1023,4	0	0						
17/12/2022	Jonagored	Z	015-89-55-248	413	8686	1445,5	1445,5	0	0						
21/12/2022	Ligol	Z	015-89-55-248	68	8754	231,2	231,2	0	0						
21/12/2022	Jonagold	Z	015-89-55-248	487	9241	1655,8	1655,8	0	0						
31/12/2022	Ligol	Z	015-89-55-248	169	9410	574,6	574,6	0	0						
10/01/2022	Szampion	Z	019-98-81-222	260	260	624	624	0	0						
17/01/2022	Idared	Z	019-98-81-222	88	348	299,2	299,2	0	0						
19/01/2022	Alwa	Z	019-98-81-222	482	830	1397,8	1397,8	0	0						
21/01/2022	Jonagold	Z	019-98-81-222	212	1042	720,8	720,8	0	0						
24/01/2022	Gala	Z	019-98-81-222	407	1449	1383,8	1383,8	0	0						
03/02/2022	Jonagored	Z	019-98-81-222	231	1680	808,5	808,5	0	0						
03/02/2022	Ligol	Z	019-98-81-222	255	1935	867	867	0	0						
07/02/2022	Alwa	Z	019-98-81-222	49	1984	142,1	142,1	0	0						
12/02/2022	Cortland	Z	019-98-81-222	163	2147	521,6	521,6	0	0						
15/02/2022	Gloster	Z	019-98-81-222	301	2448	1023,4	1023,4	0	0						
16/02/2022	Cortland	Z	019-98-81-222	39	2487	124,8	124,8	0	0						
18/02/2022	Jonagored	Z	019-98-81-222	610	3097	2135	2135	0	0						
19/02/2022	Alwa	Z	019-98-81-222	342	3439	991,8	991,8	0	0						
21/02/2022	Gala	Z	019-98-81-222	354	3793	1203,6	1203,6	0	0						
24/02/2022	Alwa	Z	019-98-81-222	418	4211	1212,2	1212,2	0	0						
07/03/2022	Jonagold	Z	019-98-81-222	419	4630	1424,6	1424,6	0	0						
15/03/2022	Jonagold	Z	019-98-81-222	245	4875	833	833	0	0						
26/03/2022	Ligol	Z	019-98-81-222	93	4968	316,2	316,2	0	0						
29/03/2022	Jonagold	Z	019-98-81-222	677	5645	2301,8	2301,8	0	0						
02/05/2022	Ligol	Z	019-98-81-222	490	6135	1666	1666	0	0						
09/05/2022	Idared	Z	019-98-81-222	45	6180	153	153	0	0						
10/05/2022	Jonagold	Z	019-98-81-222	410	6590	1394	1394	0	0						
13/05/2022	Idared	Z	019-98-81-222	91	6681	309,4	309,4	0	0						
21/05/2022	Szampion	Z	019-98-81-222	136	6817	326,4	326,4	0	0						
25/05/2022	Gloster	Z	019-98-81-222	81	6898	275,4	275,4	0	0						
27/05/2022	Ligol	Z	019-98-81-222	117	7015	397,8	397,8	0	0						
06/06/2022	Melba	L	019-98-81-222	321	7336	866,7	866,7	0	0						
17/06/2022	Reneta	J	019-98-81-222	491	7827	1718,5	1718,5	0	0						
18/06/2022	Papierowka	L	019-98-81-222	315	8142	1008	1008	0	0						
27/06/2022	Papierowka	L	019-98-81-222	499	8641	1596,8	1596,8	0	0						
28/06/2022	Papierowka	L	019-98-81-222	139	8780	444,8	444,8	0	0						
04/07/2022	Melba	L	019-98-81-222	453	9233	1223,1	1223,1	0	0						
12/07/2022	Melba	L	019-98-81-222	221	9454	596,7	596,7	0	0						
13/07/2022	Papierowka	L	019-98-81-222	276	9730	883,2	883,2	0	0						
18/07/2022	Melba	L	019-98-81-222	403	10133	1088,1	1088,1	0	0						
30/07/2022	Melba	L	019-98-81-222	86	10219	232,2	232,2	0	0						
02/08/2022	Reneta	J	019-98-81-222	166	10385	581	581	0	0						
06/08/2022	Melba	L	019-98-81-222	353	10738	953,1	953,1	0	0						
12/08/2022	Reneta	J	019-98-81-222	238	10976	833	833	0	0						
19/08/2022	Papierowka	L	019-98-81-222	67	11043	214,4	214,4	0	0						
08/10/2022	Reneta	J	019-98-81-222	430	11473	1505	1505	0	0						
10/10/2022	Antonowka	J	019-98-81-222	413	11886	1321,6	1321,6	0	0						
14/10/2022	Antonowka	J	019-98-81-222	110	11996	352	352	0	0						
15/10/2022	Kosztela	J	019-98-81-222	423	12419	1057,5	1057,5	0	0						
22/10/2022	Reneta	J	019-98-81-222	396	12815	1386	1386	0	0						
15/11/2022	Lobo	J	019-98-81-222	365	13180	912,5	912,5	0	0						
22/11/2022	Kosztela	J	019-98-81-222	51	13231	127,5	127,5	0	0						
24/11/2022	Reneta	J	019-98-81-222	48	13279	168	168	0	0						
29/11/2022	Reneta	J	019-98-81-222	339	13618	1186,5	1186,5	0	0						
10/12/2022	Jonagored	Z	019-98-81-222	490	14108	1715	1715	0	0						
14/12/2022	Jonagold	Z	019-98-81-222	394	14502	1339,6	1339,6	0	0						
24/12/2022	Gala	Z	019-98-81-222	510	15012	1734	1708,5	25,5	1						
24/12/2022	Jonagored	Z	019-98-81-222	367	15379	1284,5	1266,15	18,35	1						
26/12/2022	Jonagored	Z	019-98-81-222	449	15828	1571,5	1549,05	22,45	1						
28/12/2022	Ligol	Z	019-98-81-222	480	16308	1632	1608	24	1						
05/02/2022	Jonagored	Z	029-43-78-009	524	524	1834	1834	0	0						
28/02/2022	Cortland	Z	029-43-78-009	322	846	1030,4	1030,4	0	0						
01/03/2022	Jonagored	Z	029-43-78-009	560	1406	1960	1960	0	0						
05/03/2022	Ligol	Z	029-43-78-009	180	1586	612	612	0	0						
18/04/2022	Szampion	Z	029-43-78-009	540	2126	1296	1296	0	0						
22/04/2022	Ligol	Z	029-43-78-009	306	2432	1040,4	1040,4	0	0						
13/05/2022	Jonagored	Z	029-43-78-009	237	2669	829,5	829,5	0	0						
27/05/2022	Szampion	Z	029-43-78-009	384	3053	921,6	921,6	0	0						
01/06/2022	Reneta	J	029-43-78-009	380	3433	1330	1330	0	0						
02/06/2022	Melba	L	029-43-78-009	324	3757	874,8	874,8	0	0						
04/06/2022	Melba	L	029-43-78-009	198	3955	534,6	534,6	0	0						
08/06/2022	Papierowka	L	029-43-78-009	377	4332	1206,4	1206,4	0	0						
09/06/2022	Reneta	J	029-43-78-009	286	4618	1001	1001	0	0						
28/06/2022	Reneta	J	029-43-78-009	317	4935	1109,5	1109,5	0	0						
28/06/2022	Reneta	J	029-43-78-009	126	5061	441	441	0	0						
29/06/2022	Melba	L	029-43-78-009	246	5307	664,2	664,2	0	0						
29/06/2022	Papierowka	L	029-43-78-009	493	5800	1577,6	1577,6	0	0						
30/06/2022	Melba	L	029-43-78-009	280	6080	756	756	0	0						
06/07/2022	Papierowka	L	029-43-78-009	239	6319	764,8	764,8	0	0						
01/08/2022	Reneta	J	029-43-78-009	381	6700	1333,5	1333,5	0	0						
02/08/2022	Reneta	J	029-43-78-009	118	6818	413	413	0	0						
08/08/2022	Reneta	J	029-43-78-009	139	6957	486,5	486,5	0	0						
15/08/2022	Melba	L	029-43-78-009	427	7384	1152,9	1152,9	0	0						
18/08/2022	Melba	L	029-43-78-009	438	7822	1182,6	1182,6	0	0						
22/08/2022	Papierowka	L	029-43-78-009	136	7958	435,2	435,2	0	0						
27/08/2022	Reneta	J	029-43-78-009	391	8349	1368,5	1368,5	0	0						
30/08/2022	Melba	L	029-43-78-009	228	8577	615,6	615,6	0	0						
07/09/2022	Delikates	J	029-43-78-009	28	8605	89,6	89,6	0	0						
10/09/2022	Reneta	J	029-43-78-009	161	8766	563,5	563,5	0	0						
19/09/2022	Delikates	J	029-43-78-009	306	9072	979,2	979,2	0	0						
23/09/2022	Delikates	J	029-43-78-009	149	9221	476,8	476,8	0	0						
27/09/2022	Reneta	J	029-43-78-009	159	9380	556,5	556,5	0	0						
29/09/2022	Reneta	J	029-43-78-009	225	9605	787,5	787,5	0	0						
01/10/2022	Antonowka	J	029-43-78-009	226	9831	723,2	723,2	0	0						
08/10/2022	Kosztela	J	029-43-78-009	460	10291	1150	1150	0	0						
10/10/2022	Antonowka	J	029-43-78-009	343	10634	1097,6	1097,6	0	0						
11/10/2022	Lobo	J	029-43-78-009	305	10939	762,5	762,5	0	0						
15/10/2022	Reneta	J	029-43-78-009	356	11295	1246	1246	0	0						
07/11/2022	Reneta	J	029-43-78-009	261	11556	913,5	913,5	0	0						
10/11/2022	Kosztela	J	029-43-78-009	357	11913	892,5	892,5	0	0						
12/11/2022	Delikates	J	029-43-78-009	406	12319	1299,2	1299,2	0	0						
15/11/2022	Delikates	J	029-43-78-009	72	12391	230,4	230,4	0	0						
30/11/2022	Reneta	J	029-43-78-009	322	12713	1127	1127	0	0						
03/12/2022	Gala	Z	029-43-78-009	778	13491	2645,2	2645,2	0	0						
06/12/2022	Gloster	Z	029-43-78-009	81	13572	275,4	275,4	0	0						
26/12/2022	Idared	Z	029-43-78-009	409	13981	1390,6	1390,6	0	0						
04/01/2022	Szampion	Z	033-49-11-774	555	555	1332	1332	0	0						
04/01/2022	Jonagored	Z	033-49-11-774	640	1195	2240	2240	0	0						
18/01/2022	Szampion	Z	033-49-11-774	419	1614	1005,6	1005,6	0	0						
19/01/2022	Gala	Z	033-49-11-774	511	2125	1737,4	1737,4	0	0						
03/02/2022	Idared	Z	033-49-11-774	180	2305	612	612	0	0						
07/02/2022	Jonagold	Z	033-49-11-774	421	2726	1431,4	1431,4	0	0						
09/02/2022	Ligol	Z	033-49-11-774	393	3119	1336,2	1336,2	0	0						
10/02/2022	Jonagold	Z	033-49-11-774	331	3450	1125,4	1125,4	0	0						
14/02/2022	Alwa	Z	033-49-11-774	402	3852	1165,8	1165,8	0	0						
15/02/2022	Gala	Z	033-49-11-774	753	4605	2560,2	2560,2	0	0						
21/02/2022	Ligol	Z	033-49-11-774	205	4810	697	697	0	0						
22/02/2022	Alwa	Z	033-49-11-774	112	4922	324,8	324,8	0	0						
28/02/2022	Alwa	Z	033-49-11-774	14	4936	40,6	40,6	0	0						
05/03/2022	Jonagored	Z	033-49-11-774	244	5180	854	854	0	0						
05/03/2022	Alwa	Z	033-49-11-774	302	5482	875,8	875,8	0	0						
12/03/2022	Alwa	Z	033-49-11-774	53	5535	153,7	153,7	0	0						
21/03/2022	Gala	Z	033-49-11-774	603	6138	2050,2	2050,2	0	0						
28/03/2022	Ligol	Z	033-49-11-774	329	6467	1118,6	1118,6	0	0						
07/04/2022	Gala	Z	033-49-11-774	730	7197	2482	2482	0	0						
15/04/2022	Cortland	Z	033-49-11-774	205	7402	656	656	0	0						
15/04/2022	Gloster	Z	033-49-11-774	458	7860	1557,2	1557,2	0	0						
16/04/2022	Gloster	Z	033-49-11-774	376	8236	1278,4	1278,4	0	0						
25/04/2022	Gloster	Z	033-49-11-774	189	8425	642,6	642,6	0	0						
25/04/2022	Szampion	Z	033-49-11-774	389	8814	933,6	933,6	0	0						
29/04/2022	Ligol	Z	033-49-11-774	295	9109	1003	1003	0	0						
29/04/2022	Alwa	Z	033-49-11-774	210	9319	609	609	0	0						
14/05/2022	Gloster	Z	033-49-11-774	279	9598	948,6	948,6	0	0						
14/05/2022	Idared	Z	033-49-11-774	17	9615	57,8	57,8	0	0						
18/05/2022	Cortland	Z	033-49-11-774	404	10019	1292,8	1292,8	0	0						
25/05/2022	Alwa	Z	033-49-11-774	159	10178	461,1	461,1	0	0						
26/05/2022	Alwa	Z	033-49-11-774	465	10643	1348,5	1348,5	0	0						
02/06/2022	Papierowka	L	033-49-11-774	410	11053	1312	1312	0	0						
03/06/2022	Papierowka	L	033-49-11-774	201	11254	643,2	643,2	0	0						
13/06/2022	Papierowka	L	033-49-11-774	301	11555	963,2	963,2	0	0						
25/06/2022	Papierowka	L	033-49-11-774	50	11605	160	160	0	0						
27/06/2022	Reneta	J	033-49-11-774	44	11649	154	154	0	0						
28/06/2022	Papierowka	L	033-49-11-774	87	11736	278,4	278,4	0	0						
13/07/2022	Reneta	J	033-49-11-774	104	11840	364	364	0	0						
25/07/2022	Reneta	J	033-49-11-774	419	12259	1466,5	1466,5	0	0						
30/07/2022	Papierowka	L	033-49-11-774	171	12430	547,2	547,2	0	0						
03/08/2022	Reneta	J	033-49-11-774	184	12614	644	644	0	0						
12/08/2022	Papierowka	L	033-49-11-774	281	12895	899,2	899,2	0	0						
12/08/2022	Melba	L	033-49-11-774	472	13367	1274,4	1274,4	0	0						
19/08/2022	Reneta	J	033-49-11-774	66	13433	231	231	0	0						
22/08/2022	Papierowka	L	033-49-11-774	239	13672	764,8	764,8	0	0						
24/08/2022	Papierowka	L	033-49-11-774	108	13780	345,6	345,6	0	0						
31/08/2022	Melba	L	033-49-11-774	66	13846	178,2	178,2	0	0						
03/09/2022	Reneta	J	033-49-11-774	357	14203	1249,5	1249,5	0	0						
05/09/2022	Delikates	J	033-49-11-774	340	14543	1088	1088	0	0						
21/09/2022	Kosztela	J	033-49-11-774	399	14942	997,5	997,5	0	0						
24/09/2022	Kosztela	J	033-49-11-774	26	14968	65	65	0	0						
03/10/2022	Delikates	J	033-49-11-774	374	15342	1196,8	1178,1	18,7	1						
05/10/2022	Reneta	J	033-49-11-774	259	15601	906,5	893,55	12,95	1						
22/10/2022	Kosztela	J	033-49-11-774	315	15916	787,5	771,75	15,75	1						
28/10/2022	Antonowka	J	033-49-11-774	358	16274	1145,6	1127,7	17,9	1						
29/10/2022	Reneta	J	033-49-11-774	226	16500	791	779,7	11,3	1						
29/10/2022	Antonowka	J	033-49-11-774	479	16979	1532,8	1508,85	23,95	1						
31/10/2022	Lobo	J	033-49-11-774	174	17153	435	426,3	8,7	1						
01/11/2022	Lobo	J	033-49-11-774	390	17543	975	955,5	19,5	1						
04/11/2022	Reneta	J	033-49-11-774	214	17757	749	738,3	10,7	1						
25/11/2022	Reneta	J	033-49-11-774	426	18183	1491	1469,7	21,3	1						
03/12/2022	Gloster	Z	033-49-11-774	218	18401	741,2	730,3	10,9	1						
30/12/2022	Gala	Z	033-49-11-774	403	18804	1370,2	1350,05	20,15	1						
31/12/2022	Jonagored	Z	033-49-11-774	436	19240	1526	1504,2	21,8	1						
10/01/2022	Ligol	Z	035-32-41-072	196	196	666,4	666,4	0	0						
11/01/2022	Cortland	Z	035-32-41-072	193	389	617,6	617,6	0	0						
31/01/2022	Jonagored	Z	035-32-41-072	605	994	2117,5	2117,5	0	0						
01/02/2022	Cortland	Z	035-32-41-072	412	1406	1318,4	1318,4	0	0						
05/02/2022	Idared	Z	035-32-41-072	353	1759	1200,2	1200,2	0	0						
11/02/2022	Idared	Z	035-32-41-072	111	1870	377,4	377,4	0	0						
23/02/2022	Jonagold	Z	035-32-41-072	448	2318	1523,2	1523,2	0	0						
28/02/2022	Gala	Z	035-32-41-072	489	2807	1662,6	1662,6	0	0						
04/03/2022	Szampion	Z	035-32-41-072	583	3390	1399,2	1399,2	0	0						
14/03/2022	Gloster	Z	035-32-41-072	402	3792	1366,8	1366,8	0	0						
17/03/2022	Jonagold	Z	035-32-41-072	264	4056	897,6	897,6	0	0						
22/03/2022	Gala	Z	035-32-41-072	363	4419	1234,2	1234,2	0	0						
28/03/2022	Cortland	Z	035-32-41-072	351	4770	1123,2	1123,2	0	0						
29/03/2022	Jonagored	Z	035-32-41-072	593	5363	2075,5	2075,5	0	0						
31/03/2022	Ligol	Z	035-32-41-072	163	5526	554,2	554,2	0	0						
18/04/2022	Gala	Z	035-32-41-072	795	6321	2703	2703	0	0						
26/04/2022	Jonagold	Z	035-32-41-072	415	6736	1411	1411	0	0						
27/04/2022	Szampion	Z	035-32-41-072	415	7151	996	996	0	0						
16/05/2022	Ligol	Z	035-32-41-072	381	7532	1295,4	1295,4	0	0						
23/05/2022	Jonagored	Z	035-32-41-072	567	8099	1984,5	1984,5	0	0						
28/05/2022	Idared	Z	035-32-41-072	228	8327	775,2	775,2	0	0						
30/05/2022	Cortland	Z	035-32-41-072	143	8470	457,6	457,6	0	0						
01/06/2022	Papierowka	L	035-32-41-072	428	8898	1369,6	1369,6	0	0						
06/06/2022	Papierowka	L	035-32-41-072	290	9188	928	928	0	0						
21/06/2022	Reneta	J	035-32-41-072	440	9628	1540	1540	0	0						
01/07/2022	Reneta	J	035-32-41-072	472	10100	1652	1652	0	0						
11/07/2022	Reneta	J	035-32-41-072	223	10323	780,5	780,5	0	0						
18/07/2022	Melba	L	035-32-41-072	407	10730	1098,9	1098,9	0	0						
20/07/2022	Papierowka	L	035-32-41-072	119	10849	380,8	380,8	0	0						
25/07/2022	Reneta	J	035-32-41-072	333	11182	1165,5	1165,5	0	0						
30/07/2022	Papierowka	L	035-32-41-072	430	11612	1376	1376	0	0						
02/08/2022	Papierowka	L	035-32-41-072	43	11655	137,6	137,6	0	0						
04/08/2022	Papierowka	L	035-32-41-072	18	11673	57,6	57,6	0	0						
08/08/2022	Melba	L	035-32-41-072	55	11728	148,5	148,5	0	0						
20/08/2022	Melba	L	035-32-41-072	305	12033	823,5	823,5	0	0						
01/09/2022	Antonowka	J	035-32-41-072	223	12256	713,6	713,6	0	0						
02/09/2022	Reneta	J	035-32-41-072	251	12507	878,5	878,5	0	0						
05/09/2022	Reneta	J	035-32-41-072	429	12936	1501,5	1501,5	0	0						
05/09/2022	Kosztela	J	035-32-41-072	447	13383	1117,5	1117,5	0	0						
06/09/2022	Reneta	J	035-32-41-072	210	13593	735	735	0	0						
10/09/2022	Reneta	J	035-32-41-072	410	14003	1435	1435	0	0						
22/09/2022	Reneta	J	035-32-41-072	481	14484	1683,5	1683,5	0	0						
05/10/2022	Antonowka	J	035-32-41-072	181	14665	579,2	579,2	0	0						
10/10/2022	Reneta	J	035-32-41-072	189	14854	661,5	661,5	0	0						
17/10/2022	Delikates	J	035-32-41-072	253	15107	809,6	796,95	12,65	1						
18/10/2022	Delikates	J	035-32-41-072	269	15376	860,8	847,35	13,45	1						
24/10/2022	Antonowka	J	035-32-41-072	281	15657	899,2	885,15	14,05	1						
26/10/2022	Lobo	J	035-32-41-072	420	16077	1050	1029	21	1						
07/11/2022	Reneta	J	035-32-41-072	413	16490	1445,5	1424,85	20,65	1						
10/11/2022	Delikates	J	035-32-41-072	66	16556	211,2	207,9	3,3	1						
19/11/2022	Reneta	J	035-32-41-072	410	16966	1435	1414,5	20,5	1						
19/11/2022	Reneta	J	035-32-41-072	320	17286	1120	1104	16	1						
21/11/2022	Reneta	J	035-32-41-072	124	17410	434	427,8	6,2	1						
06/12/2022	Cortland	Z	035-32-41-072	261	17671	835,2	822,15	13,05	1						
08/12/2022	Gloster	Z	035-32-41-072	109	17780	370,6	365,15	5,45	1						
10/12/2022	Jonagold	Z	035-32-41-072	561	18341	1907,4	1879,35	28,05	1						
15/12/2022	Jonagored	Z	035-32-41-072	337	18678	1179,5	1162,65	16,85	1						
16/12/2022	Jonagored	Z	035-32-41-072	686	19364	2401	2366,7	34,3	1						
16/12/2022	Szampion	Z	035-32-41-072	442	19806	1060,8	1038,7	22,1	1						
19/12/2022	Alwa	Z	035-32-41-072	261	20067	756,9	730,8	26,1	1						
20/12/2022	Jonagold	Z	035-32-41-072	590	20657	2006	1947	59	1						
10/01/2022	Gala	Z	039-15-21-087	734	734	2495,6	2495,6	0	0						
13/01/2022	Jonagored	Z	039-15-21-087	403	1137	1410,5	1410,5	0	0						
14/01/2022	Szampion	Z	039-15-21-087	408	1545	979,2	979,2	0	0						
31/01/2022	Alwa	Z	039-15-21-087	45	1590	130,5	130,5	0	0						
08/02/2022	Gloster	Z	039-15-21-087	340	1930	1156	1156	0	0						
10/02/2022	Gala	Z	039-15-21-087	498	2428	1693,2	1693,2	0	0						
21/02/2022	Gloster	Z	039-15-21-087	372	2800	1264,8	1264,8	0	0						
21/02/2022	Jonagold	Z	039-15-21-087	692	3492	2352,8	2352,8	0	0						
23/02/2022	Jonagold	Z	039-15-21-087	576	4068	1958,4	1958,4	0	0						
28/02/2022	Gloster	Z	039-15-21-087	36	4104	122,4	122,4	0	0						
01/03/2022	Ligol	Z	039-15-21-087	302	4406	1026,8	1026,8	0	0						
03/03/2022	Cortland	Z	039-15-21-087	393	4799	1257,6	1257,6	0	0						
09/03/2022	Idared	Z	039-15-21-087	249	5048	846,6	846,6	0	0						
01/04/2022	Alwa	Z	039-15-21-087	17	5065	49,3	49,3	0	0						
02/04/2022	Gloster	Z	039-15-21-087	161	5226	547,4	547,4	0	0						
04/04/2022	Ligol	Z	039-15-21-087	56	5282	190,4	190,4	0	0						
06/04/2022	Jonagored	Z	039-15-21-087	571	5853	1998,5	1998,5	0	0						
08/04/2022	Szampion	Z	039-15-21-087	176	6029	422,4	422,4	0	0						
12/04/2022	Jonagored	Z	039-15-21-087	638	6667	2233	2233	0	0						
14/04/2022	Jonagored	Z	039-15-21-087	621	7288	2173,5	2173,5	0	0						
15/04/2022	Gloster	Z	039-15-21-087	279	7567	948,6	948,6	0	0						
05/05/2022	Jonagold	Z	039-15-21-087	623	8190	2118,2	2118,2	0	0						
06/05/2022	Szampion	Z	039-15-21-087	233	8423	559,2	559,2	0	0						
